commit	parent	status	primary_mean	recovered_mean	recovered_max	combined_max	combined_p95	description
a15795a	3da3f5c	discard	0.029795	0.010259	0.390625	0.500000	0.093750	sharpen FPN layer3 lateral by replacing avg-pool+1x1 conv with a learned 3x3 stride-2 conv that downsamples layer3's 16x16 directly to 8x8 (zero-init preserved so resume is a no-op fine-tune), so the per-cell features carry crisper piece-silhouette edges instead of 2x2-averaged ones — extends the current-best FPN-fusion line, targeting the chessred2k angled-view plateau where small/boundary-overlapping pieces lose discriminative edge structure under avg-pool
d76b5ed	3da3f5c	discard	0.029820	0.010417	0.390625	0.500000	0.093750	extend the current-best FPN lateral fusion by adding a second zero-initialized 1x1 lateral from layer2 (128ch, 32x32 avg-pooled to 8x8) into the layer4 8x8 sum, on top of the existing layer3 lateral, so per-cell features carry edge/texture detail from a stage two levels finer than layer3 — targets chessred2k angled-view confusions on thin/small pieces (knight ear cutouts, pawn vs bishop tops) where even layer3's 16x16 map has already smoothed away the discriminative silhouette edges; zero-init keeps the resume checkpoint a no-op fine-tune
ce7be76	3da3f5c	discard	0.029871	0.010259	0.406250	0.500000	0.093750	add dropout regularization (p=0.1) inside the cell-attention transformer encoder layers and a Dropout2d(p=0.1) on the per-cell feature map immediately before the 2-layer classification head, targeting the ~4.5x recovered:val (0.010) vs chessred2k:val (0.046) generalization gap which is classic overfit-to-clean-train-domain rather than capacity (R50 and 320-input attempts confirmed capacity is not the bottleneck) — both dropouts are parameter-free additions so checkpoint keys/shapes are preserved and resume is exact, the dropout simply turns on during fine-tuning to inject stochasticity into the cross-cell mixing and per-cell readout where the chessred2k errors are concentrated
62ede1b	b600717	keep	0.028607	0.003581	0.031250	0.500000	0.078125	add label smoothing (eps=0.1) to focal cross-entropy loss — mixes hard-label NLL with uniform NLL so the model is penalized for overconfident predictions on easy clean-domain cells, targeting the 4.5x domain gap (recovered:val 0.010 vs chessred2k:val 0.046) as a target-parameterization regularizer; no parameter shape changes so checkpoint resume is exact
2126541	62ede1b	crash	0.000000	0.000000	0.000000	0.000000	0.000000	baseline whole-board classifier
2ecabb5	2126541	discard	0.029480	0.003743	0.031250	0.500000	0.093750	reduce focal gamma from 2.0 to 1.5 to rebalance gradient signal when combined with label smoothing (eps=0.1): gamma=2 over-suppresses easy-sample gradients when label smoothing is already active, reducing to 1.5 preserves harder-sample focus while allowing more gradient from moderately-confident cells, targeting chessred2k generalization where piece discrimination is moderately difficult rather than strictly hard
413ef25	2ecabb5	discard	0.029531	0.003581	0.031250	0.500000	0.093750	increase AUX_FACTOR_LOSS_WEIGHT 0.3->0.5 and restore FOCAL_GAMMA=2.0: stronger auxiliary color/type factorization to improve domain-invariant representations for chessred2k generalization
3854373	413ef25	discard	0.029223	0.003743	0.031250	0.500000	0.093750	relax ExponentialLR final-LR target from 2% to 5% to sustain gradient signal late in training for harder chessred2k cells; restore AUX_FACTOR_LOSS_WEIGHT to 0.3 (best known, undoing the discarded 0.5 increase)
94df8b1	3854373	discard	0.029274	0.003906	0.031250	0.500000	0.093750	reduce batch_size 32->16 for higher-variance gradient updates as implicit domain regularization; restore ExponentialLR decay to 2% final LR (best known, reverting discarded 5%)
9003136	94df8b1	discard	0.029428	0.003581	0.031250	0.500000	0.093750	restore batch_size=32 (best known; 16 was a discard vs best run which used 32)
