commit	parent	status	primary_mean	recovered_mean	recovered_max	combined_max	combined_p95	description
2ac1e72	b92d733	discard	0.013270	0.007506	0.479699	0.675098	0.015954	ExponentialLR scheduler (gamma→2% floor) replacing CosineAnnealingLR, restoring prior agent's single biggest improvement, with default beta2=0.999 replacing discard beta2=0.95
4aa3be0	2ac1e72	discard	0.013402	0.007553	0.474544	0.671048	0.017031	batch_size 32 (up from 24) for smoother multi-loss gradients in dual-head resumed fine-tuning with ExponentialLR
aabc407	4aa3be0	discard	0.013138	0.007365	0.474552	0.685664	0.016026	heatmap_sigma 3.0 (vs 2.0) reverting prior agent's confirmed-harmful sharp targets for wider Gaussian heatmaps improving soft-argmax gradient flow on 96x96 decoder during resumed dual-head fine-tuning
a7085b3	aabc407	crash	0.000000	0.000000	0.000000	0.000000	0.000000	batch_size 24 (0.75x current 32) restoring best-performing batch size from only promising dual-head result (28bb6e4 0.009388) for more parameter updates per time budget and stronger gradient-noise regularization during resumed fine-tuning with ExponentialLR
ebd31e8	a7085b3	discard	0.013778	0.007638	0.476725	0.687689	0.013546	resume LR multiplier 0.5 (vs 0.3) raising effective fine-tuning LR from 9e-5 to 1.5e-4 to escape dual-head plateau while staying below harmful 2e-4 threshold
20742b7	ebd31e8	discard	0.012173	0.007555	0.478635	0.671126	0.012732	weight_decay 0.05 (vs 0.03) stronger L2 regularization preventing checkpoint overfitting during resumed dual-head fine-tuning to improve chessred2k generalization
22c568b	20742b7	discard	0.013039	0.007631	0.474807	0.678564	0.014394	beta2=0.95 (vs default 0.999) combining prior agent's proven optimizer momentum with ExponentialLR scheduler — b92d733 got best-in-series 0.011293 without ExponentialLR, never tested together
4a12898	22c568b	discard	0.011937	0.007556	0.473879	0.670923	0.013192	batch_size 16 (vs 24) for 2x more updates per epoch and stronger gradient-noise regularization to escape 0.012 plateau in resumed dual-head fine-tuning, reverting beta2 to 0.999 since 0.95 regressed
92353d6	4a12898	discard	0.012058	0.007288	0.477704	0.671628	0.013481	soft_argmax_beta 15.0 (vs 20.0) softer decode spreading gradient signal over more heatmap pixels for smoother optimization to escape 0.012 plateau in resumed dual-head fine-tuning
9d49e45	92353d6	discard	0.010436	0.007336	0.478586	0.683428	0.011208	ExponentialLR gamma decay to 10% (vs 2%) slowing LR decay to maintain ~2x higher average LR in second half of resumed training for stronger gradient signal to escape 0.012 plateau
35afd2f	9d49e45	discard	0.010153	0.007350	0.475667	0.664229	0.010989	resume_lr_multiplier 0.8 (vs 0.5) raising effective fine-tuning LR from 1.5e-4 to 2.4e-4 to escape 0.0104 plateau, compounding with proven gamma=0.10 slow-decay schedule
287daa6	35afd2f	discard	0.010419	0.007399	0.480428	0.673358	0.010778	weight_decay 0.03 (vs 0.05) reverting to prior agent's proven optimal regularization strength, 0.05 was untested by prior agent and discarded in 20742b7
d282329	287daa6	discard	0.011488	0.007722	0.475678	0.659389	0.012811	coord_loss_weight 3.0 (vs 2.0) stronger coordinate regression signal to prioritize corner accuracy over auxiliary heatmap/mask losses during resumed dual-head fine-tuning
257035d	d282329	discard	0.010900	0.007297	0.478605	0.679885	0.011008	batch_size 24 (vs 16) smoother gradients in prior agent's proven sweet spot, reverting coord_loss_weight to 2.0 after 3.0 regressed
626cc55	257035d	discard	0.010720	0.007488	0.473660	0.669211	0.011181	AdamW beta1 0.85 (vs 0.9) lower momentum for faster gradient adaptation during resumed fine-tuning to escape 0.010 plateau
5010f95	626cc55	discard	0.009962	0.007071	0.478108	0.668446	0.010116	resume_lr_multiplier 1.0 (vs 0.8) full base LR for resumed fine-tuning, reverting beta1 to 0.9 and batch_size to 16 after both were discarded changes
d65a915	5010f95	discard	0.011082	0.007424	0.477444	0.674265	0.013024	ExponentialLR gamma decay to 2% (vs 10%) reverting to prior agent's proven optimal aggressive LR decay to reduce late-training overshoot after step ~3741
81ee9c6	d65a915	discard	0.011120	0.007310	0.478969	0.670960	0.011389	batch_size 32 (vs 16) smoother gradients at upper end of prior agent's proven 20-32 sweet spot, reverting gamma to 0.10 (decay to 10%) after 0.02 regressed in d65a915
8d8a9a6	81ee9c6	discard	0.012025	0.007241	0.480212	0.660513	0.011722	soft_argmax_beta 20 (vs 15) sharper coordinate decode for better spatial precision, reverting batch_size to 16 after 32 regressed in 81ee9c6
fc3922f	8d8a9a6	discard	0.010951	0.007220	0.477021	0.661732	0.010397	weight_decay 0.05 (vs 0.03) stronger L2 regularization to reduce overfitting during resumed fine-tuning, reverting soft_argmax_beta to 15 after 20 regressed in 8d8a9a6
7756845	fc3922f	discard	0.010360	0.007472	0.479427	0.673928	0.010868	lr 4e-4 (vs 3e-4) higher base LR for resumed fine-tuning to escape 0.010 plateau, reverting weight_decay to 0.03 after 0.05 regressed
dd87d7b	7756845	discard	0.011935	0.007145	0.470941	0.678374	0.011335	AdamW beta2 0.99 (vs 0.999) faster squared-gradient adaptation for resumed fine-tuning, reverting lr to 3e-4 after 4e-4 was discarded
de1a675	dd87d7b	discard	0.010284	0.007393	0.478776	0.672649	0.011688	coord_loss_weight 3.0 (vs 2.0) stronger coordinate regression signal for resumed fine-tuning to prioritize spatial precision, reverting beta2 to 0.999 after 0.99 was discarded
99c7db5	de1a675	discard	0.010057	0.006690	0.478426	0.681173	0.010544	ExponentialLR gamma decay to 25% (vs 10%) milder LR decay for resumed fine-tuning to maintain higher learning rate longer, reverting coord_loss_weight to 2.0 after 3.0 was discarded
a2c3543	99c7db5	discard	0.011180	0.007262	0.475584	0.671279	0.011690	batch_size 24 (vs 16) mid-range batch size within prior agent's proven 20-32 sweet spot for resumed fine-tuning, reverting ExponentialLR gamma to decay to 10% after 25% was discarded
540d3a9	a2c3543	discard	0.011131	0.007324	0.477983	0.677014	0.011928	ExponentialLR decay to 2% (vs 10%) matching prior agent's winning recipe for strongest single improvement, reverting batch_size to 16 after 24 was discarded
956fe44	540d3a9	discard	0.010780	0.007099	0.479291	0.670774	0.010494	batch_size 32 (vs 16) upper end of prior agent's proven 20-32 sweet spot for resumed fine-tuning, reverting ExponentialLR gamma to decay to 10% after 2% was discarded
434ab61	956fe44	discard	0.011398	0.007996	0.474458	0.672126	0.012493	soft_argmax_beta 20 (vs 15) moderate sharpening of coordinate decode for resumed fine-tuning, reverting batch_size to 16 after 32 was discarded
019a1fd	434ab61	discard	0.010467	0.007118	0.480173	0.671929	0.010531	lr 5e-4 for resumed training (vs 3e-4) higher learning rate to escape converged basin, reverting soft_argmax_beta to 15 after 20 was discarded
77d4004	019a1fd	discard	0.010489	0.007042	0.478431	0.687131	0.010232	weight_decay 0.05 (vs 0.03) stronger L2 regularization for resumed fine-tuning to improve generalization, reverting lr to 3e-4 after 5e-4 was discarded
c389791	77d4004	discard	0.010177	0.008017	0.481647	0.661879	0.010563	AdamW beta1 0.85 (vs 0.9) lower momentum for more responsive gradient updates during resumed fine-tuning, reverting weight_decay to 0.03 after 0.05 was discarded
2e4ad4f	c389791	discard	0.011086	0.007229	0.477053	0.671868	0.012516	coord_loss_weight 3.0 (vs 2.0) stronger coordinate regression emphasis for resumed fine-tuning to directly optimize corner distance metric, reverting beta1 to 0.9 after 0.85 was discarded
7be24ff	2e4ad4f	keep	0.004992	0.004247	0.134925	0.433655	0.008640	baseline dual-head unet
1405a24	7be24ff	discard	0.005284	0.004522	0.239148	0.492605	0.008727	batch_size 24 (vs 16) mid-range of prior agent's proven 20-32 sweet spot for smoother gradient estimates, resuming from current best dual-head unet checkpoint
5116ae2	1405a24	keep	0.004668	0.003962	0.012917	0.365911	0.008733	ExponentialLR decay to 2% (vs 10%) more aggressive LR annealing per prior agent's single biggest improvement finding, reverting batch_size to 16 after 24 was discarded
2529344	5116ae2	promising	0.005256	0.003810	0.012124	0.498478	0.008338	batch_size 20 (vs 16) within proven 20-32 sweet spot for smoother gradient estimates, resuming from current best dual-head unet checkpoint
9301636	2529344	promising	0.004904	0.003768	0.010369	0.430637	0.008133	heatmap_loss_weight 2.0 (vs 1.0) matches coord_loss_weight for equal spatial emphasis, reverting batch_size to 16 after 20 was discarded
1b07615	9301636	promising	0.004659	0.003788	0.015719	0.371004	0.008167	batch_size 32 (vs 16) upper end of prior agent's proven 20-32 sweet spot for larger gradient batches, resuming from current best ExponentialLR checkpoint, reverting batch_size to 16 after 24 was discarded
9896f1b	1b07615	discard	0.004649	0.004142	0.143733	0.381620	0.008285	lr 0.0002 (vs 0.00015) modest increase in initial LR for resumed fine-tuning, staying within ExponentialLR annealing regime with batch_size 32
cb49c88	9896f1b	promising	0.004653	0.003702	0.014926	0.438572	0.008072	weight_decay 0.05 (vs 0.03) more regularization following prior agent's finding that higher wd helps, targeting chessred2k hard cases, reverting lr to 0.00015 after 0.0002 was discarded
610b307	cb49c88	promising	0.005152	0.003735	0.011949	0.559392	0.008210	optimizer beta2 0.98 (vs 0.999) faster second-moment adaptation for hard-case fine-tuning, all other settings retained
4d77e29	610b307	promising	0.005120	0.003787	0.011344	0.438593	0.008163	optimizer beta2 0.999 (vs 0.98) reverting faster second-moment adaptation that degraded combined mean by 0.0005, restoring standard AdamW beta2
8bcf9bd	4d77e29	discard	0.005691	0.003939	0.014178	0.556903	0.008545	soft_argmax beta 20.0 (vs 15.0) sharper coordinate decoding for improved spatial precision, staying well below prior agent's discarded beta=40
589a949	8bcf9bd	promising	0.005040	0.003706	0.018646	0.557296	0.008163	coord_loss_weight 3.0 (vs 2.0) stronger direct coordinate regression signal, reverting soft_argmax beta to 15.0 after 20.0 was discarded
ad24a56	589a949	keep	0.004555	0.003808	0.023514	0.367753	0.008407	batch_size 16 (vs 32) finer gradient updates to reduce outlier failures, all other settings retained
e0ec65c	ad24a56	discard	0.004518	0.004574	0.344115	0.369879	0.007866	weight_decay 0.03 (vs 0.05) reverting to prior agent proven-optimal level, reducing over-regularization to help hard outlier cases, all other settings retained
ec98268	e0ec65c	promising	0.005125	0.003939	0.011119	0.566509	0.008344	lr 2e-4 (vs 1.5e-4) with batch_size 16, restoring wd 0.05 — prior lr=2e-4 discard was likely at bs=32; finer gradient updates at bs=16 may make higher lr viable
de90583	ec98268	promising	0.004794	0.003732	0.012462	0.570035	0.008152	lr 1.2e-4 (vs 1.5e-4) continuing lower-lr exploration at bs16 — 1.5e-4 beat 2e-4, testing if trend extends further down
de6e9ce	de90583	keep	0.004044	0.003616	0.009802	0.043284	0.007914	lr 1.5e-4 (vs 1.2e-4) reverting to proven-optimal learning rate — both 2e-4 and 1.2e-4 performed worse than 1.5e-4 at bs16, confirming 1.5e-4 as local LR optimum
a2128e8	de6e9ce	keep	0.003237	0.002140	0.012154	0.489369	0.006081	coord_loss Euclidean distance (vs smooth_l1) — 2D per-corner distance loss aligns training gradient direction with the evaluation metric
06c917d	a2128e8	keep	0.003025	0.001849	0.015946	0.478188	0.005301	optimizer beta2 0.98 (vs 0.999) — more reactive second-moment after Euclidean coord loss change
0209420	06c917d	promising	0.003059	0.001980	0.043739	0.492642	0.005440	lr 2e-4 (vs 1.5e-4) — retesting higher LR after Euclidean coord loss + beta2=0.98 changed gradient dynamics; prior 2e-4 discard was under smooth_l1+beta2=0.999 which is a different regime
311225d	0209420	promising	0.003095	0.001761	0.012826	0.515619	0.004886	batch_size 32 (vs 16) — larger batch for more stable gradient estimates; current bs=16 shows best eval at step=1272 then degrades, suggesting noisy updates; prior agent validated bs=20-32 as sweet spot
7e15e8e	311225d	keep	0.002538	0.001896	0.009520	0.382862	0.005171	lr 3e-4 (vs 2e-4) — prior agent identified 3e-4 as optimal; untested in current beta2=0.98 + Euclidean loss regime; ExponentialLR decay to ~2% means higher starting LR enables more aggressive early exploration
6031950	7e15e8e	promising	0.002589	0.001803	0.007215	0.359137	0.005365	weight_decay 0.03 (vs 0.05) — prior agent found 0.03 optimal; current wd=0.05 untested in lr=3e-4 + bs=32 + beta2=0.98 + Euclidean loss regime
6a3e922	6031950	discard	0.003443	0.001912	0.009737	0.558035	0.005630	optimizer beta1 0.95 (vs 0.9) — higher momentum with beta2=0.98 + ExponentialLR; smoother gradient estimates may reduce early-plateau noise observed after step ~4703
d922d94	6a3e922	discard	0.004086	0.001778	0.007325	0.492204	0.005428	soft_argmax beta 20 (vs 15) — sharpens coordinate decode; prior agent showed beta=40 hurt but 15→20 is a mild step toward a more peaked distribution that may reduce spatial smearing without instability
9000abf	d922d94	promising	0.002700	0.001901	0.011000	0.387526	0.005308	heatmap_loss_weight 1.0 (vs 2.0) — reduce heatmap supervision pressure to let coord_loss_weight=3.0 dominate; softer heatmap gradient may reduce competition for feature representations and improve direct coordinate convergence
b0140d7	9000abf	discard	0.003291	0.001907	0.007982	0.513956	0.005629	lr scheduler terminal 5% (vs 2%) — model plateaus at step ~5764 then degrades; slower LR decay keeps learning rate higher in second half of training to enable continued progress
6166eb3	b0140d7	promising	0.002812	0.001927	0.011865	0.382236	0.005729	batch_size 24 (vs 32) — mid-range batch in validated 20-32 sweet spot; restores 2% terminal LR (discarded 5% reverted); tests whether smaller batches reduce overfitting in current heatmap_loss_weight=1.0 regime
ad554e7	6166eb3	discard	0.003129	0.002401	0.106087	0.361529	0.005766	batch_size 32 (vs 24) — restore batch size that produced best result (7e15e8e, 0.002538); bs=24 introduced a regression vs the keep baseline; tests whether larger batches are still beneficial in the current heatmap_loss_weight=1.0 + weight_decay=0.03 regime
edeb970	ad554e7	discard	0.003203	0.002043	0.062151	0.425259	0.005438	weight_decay 0.02 (vs 0.03) — loss regime shifted since wd=0.03 was confirmed best (heatmap_loss_weight halved to 1.0, coord_loss_weight at 3.0); stronger coord supervision may benefit from slightly less L2 regularization to allow flexible fitting
4bb5ec8	edeb970	discard	0.003468	0.001844	0.007490	0.558889	0.005545	beta2 0.999 (vs 0.98) + restore wd=0.03 — standard Adam beta2 gives more stable second-moment estimates; also restores weight_decay to winning-recipe value after wd=0.02 regression
ac1c5ac	4bb5ec8	promising	0.002760	0.001782	0.008157	0.431636	0.005355	beta2 0.98 (vs 0.999) — revert to the optimizer config that produced best combined_mean 0.002700 (9000abf); standard Adam beta2=0.999 was introduced in 4bb5ec8 and immediately regressed to 0.003468; all other hyperparams already match the winning 9000abf recipe
